event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1175,16,98,143,840,840,16,82,45,697,OK
2,5,1855,16,97,132,829,829,16,81,35,697,OK
3,5,2666,16,99,131,828,828,16,83,32,697,OK
4,5,3390,16,98,130,828,828,16,82,32,698,OK
5,5,4155,16,97,129,827,827,16,81,32,698,OK
6,5,4860,1709,1790,2537,3235,3235,1709,81,747,698,OK
7,5,5069,16,99,130,828,828,16,83,31,698,OK
8,5,5256,16,98,129,827,827,16,82,31,698,OK
9,5,5436,16,97,130,827,827,16,81,33,697,OK
10,5,5623,16,98,275,973,973,16,82,177,698,OK
11,5,6677,16,98,130,827,827,16,82,32,697,OK
12,5,6876,16,98,130,827,827,16,82,32,697,OK
13,5,8007,16,98,129,827,827,16,82,31,698,OK
14,5,8204,16,101,133,831,831,16,85,32,698,OK
15,5,8396,16,98,129,827,827,16,82,31,698,OK
16,5,8562,152,233,981,1678,1678,152,81,748,697,OK
17,5,9859,16,97,129,827,827,16,81,32,698,OK
18,5,10065,16,98,130,827,827,16,82,32,697,OK
19,5,10404,16,98,130,828,828,16,82,32,698,OK
20,5,10833,16,99,203,901,901,16,83,104,698,OK
21,5,11625,16,98,129,827,827,16,82,31,698,OK
22,5,11818,16,98,130,827,827,16,82,32,697,OK
23,5,12001,1531,1612,2359,3057,3057,1531,81,747,698,OK
24,5,12716,16,98,130,827,827,16,82,32,697,OK
25,5,12907,16,97,129,827,827,16,81,32,698,OK
26,5,13080,2114,2195,2943,3641,3641,2114,81,748,698,OK
27,5,13241,1387,1468,2215,2912,2912,1387,81,747,697,OK
28,5,14546,16,97,129,827,827,16,81,32,698,OK
29,5,15531,838,920,1667,2365,2365,838,82,747,698,OK
30,5,15731,724,805,1552,2250,2250,724,81,747,698,OK
31,5,15903,16,97,129,827,827,16,81,32,698,OK
32,5,16240,1972,2054,2802,3499,3499,1972,82,748,697,OK
33,5,17612,15,97,647,1345,1345,15,82,550,698,OK
34,5,19883,16,112,144,841,841,16,96,32,697,OK
35,5,20953,16,98,130,828,828,16,82,32,698,OK
36,5,21616,16,98,129,827,827,16,82,31,698,OK
37,5,21832,16,98,581,1279,1279,16,82,483,698,OK
38,5,22050,1977,2059,2807,3504,3504,1977,82,748,697,OK
39,5,22270,16,2227,2975,3672,3672,16,2211,748,697,OK
40,5,22506,16,97,130,827,827,16,81,33,697,OK
41,5,22904,16,111,143,840,840,16,95,32,697,OK
