event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1435,16,111,2721,8283,8283,16,95,2610,5562,OK
2,5,2236,16,97,1610,7173,7173,16,81,1513,5563,OK
3,5,2412,135,217,5830,11393,11393,135,82,5613,5563,OK
4,5,3676,16,111,1731,7294,7294,16,95,1620,5563,OK
5,5,3868,16,98,129,5692,5692,16,82,31,5563,OK
6,5,4087,16,97,465,6028,6028,16,81,368,5563,OK
7,5,4280,16,98,129,5692,5692,16,82,31,5563,OK
8,5,6336,16,98,1326,6888,6888,16,82,1228,5562,OK
9,5,6764,16,99,3905,9468,9468,16,83,3806,5563,OK
10,5,7071,1367,1448,7060,12623,12623,1367,81,5612,5563,OK
11,5,7294,16,110,3722,9285,9285,16,94,3612,5563,OK
12,5,8408,16,100,132,5695,5695,16,84,32,5563,OK
13,5,8623,16,98,4995,10558,10558,16,82,4897,5563,OK
14,5,10479,16,98,129,5692,5692,16,82,31,5563,OK
15,5,10678,16,98,130,5693,5693,16,82,32,5563,OK
16,5,10852,16,98,5243,10806,10806,16,82,5145,5563,OK
17,5,11012,16,98,5473,11036,11036,16,82,5375,5563,OK
18,5,11900,16,2157,7769,13332,13332,16,2141,5612,5563,OK
19,5,12087,16,97,861,6424,6424,16,81,764,5563,OK
20,5,12277,16,102,273,5836,5836,16,86,171,5563,OK
21,5,14009,16,98,132,5695,5695,16,82,34,5563,OK
22,5,14213,16,98,4531,10093,10093,16,82,4433,5562,OK
23,5,14426,16,98,1969,7531,7531,16,82,1871,5562,OK
24,5,14617,16,98,1056,6619,6619,16,82,958,5563,OK
25,5,14797,16,98,517,6080,6080,16,82,419,5563,OK
26,5,15938,16,100,132,5695,5695,16,84,32,5563,OK
27,5,16972,35,116,5729,11292,11292,35,81,5613,5563,OK
28,5,18139,16,98,130,5692,5692,16,82,32,5562,OK
29,5,19023,16,99,5015,10578,10578,16,83,4916,5563,OK
30,5,19227,16,98,337,5899,5899,16,82,239,5562,OK
31,5,20506,16,98,1783,7346,7346,16,82,1685,5563,OK
32,5,21556,16,98,1578,7141,7141,16,82,1480,5563,OK
33,5,22409,16,101,133,5695,5695,16,85,32,5562,OK
34,5,22617,19,101,641,6204,6204,19,82,540,5563,OK
35,5,22802,73,155,5767,11330,11330,73,82,5612,5563,OK
36,5,23003,16,98,5029,10592,10592,16,82,4931,5563,OK
37,5,24959,16,97,129,5692,5692,16,81,32,5563,OK
38,5,26142,16,98,5560,11123,11123,16,82,5462,5563,OK
39,5,26355,18,100,2081,7644,7644,18,82,1981,5563,OK
40,5,27615,16,98,2365,7927,7927,16,82,2267,5562,OK
