event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1008,16,97,129,826,826,16,81,32,697,OK
2,5,2239,16,98,130,828,828,16,82,32,698,OK
3,5,3374,906,987,1734,2431,2431,906,81,747,697,OK
4,5,4235,16,100,348,1046,1046,16,84,248,698,OK
5,5,4488,16,111,143,840,840,16,95,32,697,OK
6,5,4674,1062,1144,1890,2588,2588,1062,82,746,698,OK
7,5,5785,162,243,990,1687,1687,162,81,747,697,OK
8,5,6003,1934,2015,2762,3460,3460,1934,81,747,698,OK
9,5,6174,716,798,1545,2242,2242,716,82,747,697,OK
10,5,6365,166,247,994,1691,1691,166,81,747,697,OK
11,5,6517,16,98,130,828,828,16,82,32,698,OK
12,5,7579,16,97,143,840,840,16,81,46,697,OK
13,5,8502,2975,3057,3804,4502,4502,2975,82,747,698,OK
14,5,8699,16,98,129,827,827,16,82,31,698,OK
15,5,8866,16,98,129,827,827,16,82,31,698,OK
16,5,10047,16,98,129,827,827,16,82,31,698,OK
17,5,10265,16,98,669,1367,1367,16,82,571,698,OK
18,5,10579,16,97,129,826,826,16,81,32,697,OK
19,5,10781,4408,4490,5237,5935,5935,4408,82,747,698,OK
20,5,10976,16,101,133,831,831,16,85,32,698,OK
21,5,12031,3989,4070,4818,5515,5515,3989,81,748,697,OK
22,5,12223,2050,2131,2878,3576,3576,2050,81,747,698,OK
23,5,13047,16,97,129,827,827,16,81,32,698,OK
24,5,13966,16,98,129,827,827,16,82,31,698,OK
25,5,14171,3789,3870,4617,5315,5315,3789,81,747,698,OK
26,5,15357,16,98,130,827,827,16,82,32,697,OK
27,5,15565,16,97,840,1538,1538,16,81,743,698,OK
28,5,15737,16,98,130,827,827,16,82,32,697,OK
29,5,16679,16,101,133,830,830,16,85,32,697,OK
30,5,16881,3713,3794,4541,5239,5239,3713,81,747,698,OK
31,5,17183,1904,1986,2734,3431,3431,1904,82,748,697,OK
32,5,17382,2826,2908,3656,4353,4353,2826,82,748,697,OK
33,5,18353,2515,2597,3343,4041,4041,2515,82,746,698,OK
34,5,18550,4773,4854,5601,6299,6299,4773,81,747,698,OK
35,5,18884,1418,1500,2247,2944,2944,1418,82,747,697,OK
36,5,19076,16,97,132,829,829,16,81,35,697,OK
37,5,19277,16,98,130,827,827,16,82,32,697,OK
38,5,20286,16,98,129,827,827,16,82,31,698,OK
39,5,21139,16,111,143,840,840,16,95,32,697,OK
40,5,22256,16,98,130,828,828,16,82,32,698,OK
