event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,0,1310,16,98,129,5692,5692,16,82,31,5563,OK
2,0,2473,16,97,129,5692,5692,16,81,32,5563,OK
3,0,3631,16,98,129,5692,5692,16,82,31,5563,OK
4,0,4861,18,101,4156,9718,9718,18,83,4055,5562,OK
5,0,5630,16,100,132,5695,5695,16,84,32,5563,OK
6,0,5840,16,230,5842,11405,11405,16,214,5612,5563,OK
7,0,6906,16,98,130,5693,5693,16,82,32,5563,OK
8,0,8158,16,100,131,5694,5694,16,84,31,5563,OK
9,0,9342,16,98,3650,9213,9213,16,82,3552,5563,OK
10,0,9551,16,98,130,5693,5693,16,82,32,5563,OK
11,0,9721,16,97,4872,10435,10435,16,81,4775,5563,OK
12,0,9897,16,98,129,5692,5692,16,82,31,5563,OK
13,0,10053,16,98,130,5693,5693,16,82,32,5563,OK
14,0,10208,16,97,129,5692,5692,16,81,32,5563,OK
15,0,10375,16,98,130,5693,5693,16,82,32,5563,OK
16,0,10513,16,98,129,5692,5692,16,82,31,5563,OK
17,0,12262,16,98,3675,9237,9237,16,82,3577,5562,OK
18,0,13757,16,99,130,5693,5693,16,83,31,5563,OK
19,0,15103,16,98,2302,7865,7865,16,82,2204,5563,OK
20,0,16457,16,98,129,5692,5692,16,82,31,5563,OK
21,0,17561,16,111,4814,10377,10377,16,95,4703,5563,OK
22,0,17761,16,98,4483,10045,10045,16,82,4385,5562,OK
23,0,19045,16,98,611,6173,6173,16,82,513,5562,OK
24,0,20284,16,100,1250,6813,6813,16,84,1150,5563,OK
25,0,21642,16,98,4057,9619,9619,16,82,3959,5562,OK
26,0,22978,16,98,130,5693,5693,16,82,32,5563,OK
27,0,24087,16,98,129,5692,5692,16,82,31,5563,OK
28,0,24281,16,100,4243,9806,9806,16,84,4143,5563,OK
29,0,25302,16,98,4052,9615,9615,16,82,3954,5563,OK
30,0,26071,16,97,129,5692,5692,16,81,32,5563,OK
31,0,27331,16,98,129,5692,5692,16,82,31,5563,OK
32,0,27539,16,111,143,5706,5706,16,95,32,5563,OK
33,0,27720,16,229,5842,11405,11405,16,213,5613,5563,OK
34,0,27870,16,98,130,5693,5693,16,82,32,5563,OK
35,0,29136,16,98,130,5693,5693,16,82,32,5563,OK
36,0,30399,16,98,130,5693,5693,16,82,32,5563,OK
37,0,31767,16,111,143,5706,5706,16,95,32,5563,OK
38,0,33121,16,98,4953,10515,10515,16,82,4855,5562,OK
39,0,34435,16,98,130,5692,5692,16,82,32,5562,OK
40,0,35718,16,98,130,5692,5692,16,82,32,5562,OK
