event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,0,1543,1711,1793,11708,17271,17271,1711,82,9915,5563,OK
2,0,3041,4006,4088,24004,29567,29567,4006,82,19916,5563,LATE
3,0,4432,3134,3215,33134,38697,38697,3134,81,29919,5563,LATE
4,0,5764,858,939,40857,46419,46419,858,81,39918,5562,LATE
5,0,7327,16,100,47669,53232,53232,16,84,47569,5563,LATE
6,0,8662,3508,3590,63507,69070,69070,3508,82,59917,5563,LATE
7,0,8875,466,547,70465,76028,76028,466,81,69918,5563,LATE
8,0,10206,16,98,79525,85088,85088,16,82,79427,5563,LATE
9,0,11259,16,98,85951,91513,91513,16,82,85853,5562,LATE
10,0,11481,4457,4539,104455,110018,110018,4457,82,99916,5563,LATE
11,0,11672,3526,3608,113525,119088,119088,3526,82,109917,5563,LATE
12,0,11838,16,98,116862,122425,122425,16,82,116764,5563,LATE
13,0,13537,16,100,127614,133177,133177,16,84,127514,5563,LATE
14,0,15051,4404,4485,144403,149966,149966,4404,81,139918,5563,LATE
15,0,16535,18,101,149582,155144,155144,18,83,149481,5562,LATE
16,0,17663,2558,2640,162577,168140,168140,2558,82,159937,5563,LATE
17,0,17863,2516,2597,,,,2516,81,,,DROP
18,0,19385,47,128,,,,47,81,,,DROP
19,0,20513,1964,2045,,,,1964,81,,,DROP
20,0,21663,2094,2175,,,,2094,81,,,DROP
21,0,22598,16,98,,,,16,82,,,DROP
22,0,23853,1586,1667,,,,1586,81,,,DROP
23,0,25124,1303,1385,,,,1303,82,,,DROP
24,0,25350,16,98,,,,16,82,,,DROP
25,0,25533,15725,15808,,,,15725,83,,,DROP
26,0,25697,51636,51719,,,,51636,83,,,DROP
27,0,27182,2711,2793,,,,2711,82,,,DROP
28,0,28301,4352,4433,,,,4352,81,,,DROP
29,0,29134,899,980,,,,899,81,,,DROP
30,0,30822,2973,3055,,,,2973,82,,,DROP
31,0,32606,16,98,,,,16,82,,,DROP
32,0,32833,2267,2349,,,,2267,82,,,DROP
33,0,33014,20951,21033,,,,20951,82,,,DROP
34,0,34797,16,97,,,,16,81,,,DROP
35,0,36026,16,98,,,,16,82,,,DROP
36,0,37171,4163,4244,,,,4163,81,,,DROP
37,0,37954,1455,1536,,,,1455,81,,,DROP
38,0,38172,3256,3338,,,,3256,82,,,DROP
39,0,38338,36834,36916,,,,36834,82,,,DROP
40,0,39920,5122,5203,,,,5122,81,,,DROP
