event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,0,2941,16,98,130,5693,5693,16,82,32,5563,OK
2,0,4286,16,111,143,5706,5706,16,95,32,5563,OK
3,0,5355,16,97,130,5692,5692,16,81,33,5562,OK
4,0,6158,16,111,143,5705,5705,16,95,32,5562,OK
5,0,6396,16,111,142,5705,5705,16,95,31,5563,OK
6,0,7283,16,98,132,5694,5694,16,82,34,5562,OK
7,0,7474,16,98,130,5693,5693,16,82,32,5563,OK
8,0,8621,16,98,130,5693,5693,16,82,32,5563,OK
9,0,9843,16,98,130,5693,5693,16,82,32,5563,OK
10,0,10902,16,98,4027,9590,9590,16,82,3929,5563,OK
11,0,11123,16,98,130,5693,5693,16,82,32,5563,OK
12,0,11303,16,99,2893,8456,8456,16,83,2794,5563,OK
13,0,11454,16,98,130,5692,5692,16,82,32,5562,OK
14,0,11610,16,98,130,5693,5693,16,82,32,5563,OK
15,0,11769,16,98,130,5693,5693,16,82,32,5563,OK
16,0,11955,16,97,129,5692,5692,16,81,32,5563,OK
17,0,13109,15,98,130,5693,5693,15,83,32,5563,OK
18,0,14238,16,98,132,5695,5695,16,82,34,5563,OK
19,0,15343,16,102,134,5696,5696,16,86,32,5562,OK
20,0,16321,16,98,132,5695,5695,16,82,34,5563,OK
21,0,16527,15,97,129,5692,5692,15,82,32,5563,OK
22,0,16735,16,98,130,5693,5693,16,82,32,5563,OK
23,0,16864,16,98,129,5692,5692,16,82,31,5563,OK
24,0,17010,16,97,129,5692,5692,16,81,32,5563,OK
25,0,18146,16,99,130,5693,5693,16,83,31,5563,OK
26,0,19356,16,98,129,5692,5692,16,82,31,5563,OK
27,0,20344,16,101,132,5695,5695,16,85,31,5563,OK
28,0,21377,16,98,129,5692,5692,16,82,31,5563,OK
29,0,22250,16,98,130,5693,5693,16,82,32,5563,OK
30,0,22469,16,98,129,5692,5692,16,82,31,5563,OK
31,0,22652,16,97,130,5692,5692,16,81,33,5562,OK
32,0,23619,16,111,143,5706,5706,16,95,32,5563,OK
33,0,24455,16,98,130,5693,5693,16,82,32,5563,OK
34,0,25458,16,98,130,5693,5693,16,82,32,5563,OK
35,0,26941,16,98,130,5693,5693,16,82,32,5563,OK
36,0,28319,16,100,132,5695,5695,16,84,32,5563,OK
37,0,29665,15,97,129,5692,5692,15,82,32,5563,OK
38,0,31806,16,100,132,5695,5695,16,84,32,5563,OK
39,0,33165,16,99,130,5693,5693,16,83,31,5563,OK
40,0,33364,16,111,143,5706,5706,16,95,32,5563,OK
